Dataset,IR,Method,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50,fit_seconds
heart_disease,1.1956521739130435,Pool-uniform+t05,0.18153005464480876,0.29382513661202186,0.6307103825136612,1.1921857923497268,2.315136612021858,5.683989071038252,6.406382369995117
heart_disease,1.1956521739130435,RandomBalance+Elkan,0.1980327868852459,0.23092896174863392,0.39912568306010926,0.4914207650273224,0.5416939890710383,0.5379781420765027,7.994511127471924
heart_disease,1.1956521739130435,RandomBalance+t05,0.1980327868852459,0.3301092896174863,0.7263387978142076,1.38672131147541,2.7074863387978145,6.669781420765027,7.994511127471924
heart_disease,1.1956521739130435,RandomForest+Elkan,0.18480874316939894,0.25726775956284154,0.4058469945355191,0.49830601092896176,0.5112021857923497,0.5083060109289617,1.3676064491271973
heart_disease,1.1956521739130435,RandomForest+t05,0.18480874316939894,0.2971584699453552,0.634207650273224,1.1959562841530054,2.3194535519125683,5.6899453551912575,1.3676064491271973
heart_disease,1.1956521739130435,SPE+Elkan,0.18153005464480873,0.24092896174863387,0.41885245901639345,0.46852459016393444,0.5615300546448088,0.541311475409836,7.626022291183472
heart_disease,1.1956521739130435,SPE+t05,0.18153005464480873,0.2905464480874317,0.6175956284153006,1.1626775956284152,2.2528415300546447,5.523333333333333,7.626022291183472
horse_colic,1.7444444444444445,GradientBoost+Elkan,0.1539591836734694,0.2550204081632653,0.37281632653061225,0.5259591836734694,0.6325714285714286,0.6208979591836734,0.45702381134033204
horse_colic,1.7444444444444445,GradientBoost+t05,0.1539591836734694,0.25142857142857145,0.5438367346938776,1.0311836734693878,2.0058775510204083,4.9299591836734695,0.45702381134033204
horse_colic,1.7444444444444445,Pool-uniform+Elkan,0.16620408163265304,0.23934693877551022,0.36081632653061224,0.44587755102040816,0.4533877551020408,0.6193469387755102,5.529104280471802
horse_colic,1.7444444444444445,Pool-uniform+t05,0.16620408163265304,0.25951020408163267,0.5394285714285714,1.0059591836734696,1.9390204081632654,4.738204081632653,5.529104280471802
horse_colic,1.7444444444444445,RandomBalance+Elkan,0.17020408163265305,0.29616326530612247,0.3684081632653061,0.37248979591836734,0.4129795918367347,0.6033469387755102,14.56206784248352
horse_colic,1.7444444444444445,RandomBalance+t05,0.17020408163265305,0.25110204081632653,0.49379591836734693,0.8982857142857142,1.707265306122449,4.134204081632653,14.56206784248352
horse_colic,1.7444444444444445,RandomForest+Elkan,0.18644897959183676,0.21885714285714286,0.3525714285714286,0.4086530612244898,0.5141224489795919,0.5830204081632653,1.5093840122222901
horse_colic,1.7444444444444445,RandomForest+t05,0.18644897959183676,0.3324081632653061,0.7702857142857142,1.5000816326530613,2.959673469387755,7.338448979591837,1.5093840122222901
horse_colic,1.7444444444444445,SPE+Elkan,0.17412244897959184,0.21885714285714286,0.3646530612244898,0.39257142857142857,0.5344489795918367,0.635591836734694,6.81509313583374
horse_colic,1.7444444444444445,SPE+t05,0.17412244897959184,0.25526530612244897,0.4986938775510204,0.904408163265306,1.7158367346938774,4.150122448979592,6.81509313583374
ionosphere,1.7857142857142858,GradientBoost+Elkan,0.07412474849094568,0.11979879275653924,0.23380281690140844,0.4022937625754527,0.7103822937625754,1.5490945674044265,2.5312862396240234
ionosphere,1.7857142857142858,GradientBoost+t05,0.07412474849094568,0.1282897384305835,0.290784708249497,0.5616096579476861,1.1032595573440642,2.728209255533199,2.5312862396240234
ionosphere,1.7857142857142858,Pool-uniform+Elkan,0.06559356136820925,0.11130784708249497,0.2109456740442656,0.35670020120724344,0.5593158953722334,0.4642655935613682,13.209823036193848
