Dataset,IR,Method,Recall,Precision,F1,BAcc,AUC,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50
digits_0,9.095505617977528,SMOTEBoost,0.9773015873015873,0.9867101234361296,0.981706168008254,0.9879306290417401,0.9977473898374598,0.003526256061075003,0.005754152481171979,0.012437841741462912,0.023577323841947797,0.04585628804291757,0.11269318064582688
digits_0,9.095505617977528,SPE,0.983068783068783,0.9746498112442386,0.9785268340327941,0.9900940623162845,0.9998537910579726,0.004269575982667905,0.00594036933869803,0.010952749406788403,0.01930671618693903,0.03601464974724027,0.08613845042814403
digits_1,8.873626373626374,ASE-Stacking,0.9653653653653653,0.9160210063141669,0.9390377466613948,0.9775227239623524,0.9977251245053103,0.012797895388424636,0.016320540596306613,0.026888476219952544,0.04450170225936243,0.0797281543381822,0.18540751057464147
digits_1,8.873626373626374,ASE-Static,0.969019019019019,0.9194973988149496,0.942626088533803,0.9795559491379925,0.9980041961466111,0.012056638811513464,0.015208397812854636,0.02466367481687816,0.04042246982358403,0.07194005983699577,0.166492829877231
digits_1,8.873626373626374,BalancedBagging,0.9724724724724724,0.6756713162904885,0.7965513011776088,0.9596108492393323,0.9904402854867251,0.0506489219024038,0.053431858041885896,0.0617806664603322,0.07569534715774269,0.1035247085525637,0.18701279273702673
digits_1,8.873626373626374,DSS,0.9744244244244243,0.8748451279679449,0.9211318196572387,0.9791626766084971,0.9973581941074201,0.017064376354069946,0.019660579799855568,0.02744919013721242,0.040430207366140516,0.0663922418239967,0.14427834519756524
digits_1,8.873626373626374,EasyEnsemble,0.97992992992993,0.7202085709873978,0.8289884513791658,0.9680867399907648,0.9955880028635448,0.04136954503249768,0.04340916125038687,0.049528009904054475,0.059726090993500465,0.08012225317239245,0.1413107397090684
digits_1,8.873626373626374,GB+Threshold,0.936086086086086,0.964745732423751,0.9496360045793394,0.9660822587293175,0.9983320782082392,0.010015990921283401,0.01650624161766223,0.03597699370679872,0.06842824718869286,0.13333075415248116,0.32803827504384603
digits_1,8.873626373626374,GradientBoost,0.937987987987988,0.9704334630960019,0.9533137200094788,0.9673428072034883,0.9986365622588533,0.00927318683586093,0.015577220674713711,0.03448932219127206,0.06600949138553595,0.12904982977406376,0.3181708449396472
digits_1,8.873626373626374,RF+Threshold,0.9616616616616617,0.9889272465743054,0.9747953543245844,0.9802116357843912,0.9995226650799406,0.005007221706386052,0.008901268956979264,0.0205834107087589,0.040053646961724955,0.07899411946765707,0.19581553698545343
digits_1,8.873626373626374,RUSBoost,0.977977977977978,0.5675538757931778,0.7167172063640971,0.9461613316102481,0.9912911363375759,0.07921541318477252,0.08144176209635819,0.08812080883111523,0.09925255338904364,0.12151604250490045,0.18830650985247085
digits_1,8.873626373626374,RandomBalance,0.9707707707707708,0.8886172972444228,0.9259935207933604,0.9780582440025165,0.9970800521884112,0.01614102960899618,0.019108119261322602,0.028009388218301866,0.04284483647993397,0.07251573300319819,0.16152842257299083
digits_1,8.873626373626374,RandomForest,0.8994494494494494,0.9764792227292227,0.935572410269899,0.9484863346318454,0.999113819702055,0.012425977509542968,0.02262612194367069,0.05322655524605386,0.10422727741669245,0.20622872175796966,0.5122330547818013
digits_1,8.873626373626374,SMOTEBoost,0.97997997997998,0.9666635056108741,0.9729343368741401,0.9880292056762645,0.9992444456840741,0.005562261425771175,0.007601361807489941,0.01371866295264624,0.02391416486124007,0.04430516867842773,0.10547818012999072
digits_1,8.873626373626374,SPE,0.978078078078078,0.9316278713647136,0.9537718529158589,0.9849110720627748,0.9987320137474937,0.00964562055091303,0.011870937790157847,0.018546889507892295,0.02967347570411637,0.05192664809656453,0.11868616527390902
digits_8,9.327586206896552,ASE-Stacking,0.9310364145658263,0.8405637106074582,0.8818898975544273,0.9556622402047239,0.993800446370381,0.024475394614670378,0.03115134633240483,0.05117920148560817,0.0845589600742804,0.15131847725162487,0.3515970287836583
digits_8,9.327586206896552,ASE-Static,0.8869467787114845,0.8998142305068302,0.8919139623524455,0.9379304960350712,0.9932047775995488,0.020954812751470136,0.03189879294336119,0.06473073351903436,0.11945063447848962,0.2288904363974002,0.5572098421541318
digits_8,9.327586206896552,BalancedBagging,0.9197198879551821,0.6253476953793329,0.7433142097932959,0.9299818179883539,0.9806337698612209,0.06176003301351491,0.06955122253172392,0.09292479108635097,0.13188073867739605,0.20979263385948624,0.4435283194057567
digits_8,9.327586206896552,DSS,0.8832492997198879,0.8117592894520679,0.8453940453153096,0.9305347479922642,0.9889250539342043,0.03134530073248736,0.04266068296708966,0.07660682967089653,0.13318374084390797,0.24633756318993089,0.5857990302279996
digits_8,9.327586206896552,EasyEnsemble,0.9407282913165266,0.5335106754966374,0.6800260537837709,0.9256943134328756,0.9830976859499735,0.08643505622614259,0.09218456618178067,0.10943309604869493,0.13818064582688538,0.19567574538326626,0.3681610440524089
digits_8,9.327586206896552,GB+Threshold,0.8315966386554622,0.9850190046149881,0.900191668270761,0.9150800540539102,0.9953282290694055,0.01762405859898896,0.033949757556999895,0.0829268544310327,0.16455534922108736,0.32781233880119676,0.8175833075415249
digits_8,9.327586206896552,GradientBoost,0.8315406162464986,0.9806664571987153,0.8985311274438973,0.9148465980884282,0.9946384618044749,0.017993913133188898,0.0343190962550294,0.08329464562055092,0.16492056122975343,0.3281723924481585,0.8179278861033735
digits_8,9.327586206896552,RF+Threshold,0.6955742296918768,1.0,0.8181365062709582,0.8477871148459385,0.9956604089689057,0.029497059733828535,0.05899411946765707,0.1474852986691427,0.2949705973382854,0.5899411946765708,1.4748529866914268
digits_8,9.327586206896552,RUSBoost,0.8909803921568628,0.42838428697765213,0.5772913209147377,0.8809071001620021,0.956707655065825,0.12723202310946044,0.1378056329309811,0.16952646239554317,0.2223945115031466,0.32813060971835345,0.645338904363974
digits_8,9.327586206896552,RandomBalance,0.873781512605042,0.8708502337952855,0.8648254397495461,0.9284735356630782,0.991320175249587,0.02745589600742804,0.03969875167646755,0.07642731868358608,0.13764159702878365,0.2600701537191788,0.6273558237903641
